cliente_id,regiao,segmento_negocio,canal_relacionamento,porte_cliente,distancia_cd_km,volume_medio_entregue_kg,entregas_mes,ticket_medio_rs,receita_mensal_estimada_rs,lead_time_medio_dias,entregas_no_prazo_pct,custo_medio_entrega_rs,custo_logistico_mensal_rs,custo_por_kg_rs,taxa_ocorrencias_pct,variabilidade_demanda_pct,pedidos_urgentes_pct,prioridade_contrato,risco_operacional_score,anomalia_sintetica,tipo_anomalia_sintetica,cluster_teorico_sintetico
CLI_00011,Centro-Oeste,E-commerce,Distribuidor,Médio,49.4,760.4,6,4773.7,28642.22,2.45,88.42,307.01,1842.06,0.4037,0.86,22.08,36.96,Média,20.36,0,normal,Recorrentes padrão
CLI_00012,Sudeste,Atacado,Distribuidor,Médio,171.2,686.6,14,3525.74,49360.36,4.59,55.9,714.25,9999.5,1.0403,13.76,55.28,46.0,Baixa,61.56,0,normal,Críticos operacionais
CLI_00013,Norte,Varejo,Marketplace,Grande,350.8,934.7,6,3937.69,23626.12,4.39,90.61,622.3,3733.8,0.6658,3.63,26.24,32.99,Média,25.92,0,normal,Longa distância alto custo
CLI_00014,Sul,E-commerce,B2B,Pequeno,74.5,110.1,5,1759.53,8797.64,3.16,71.44,494.99,2474.95,4.4958,4.53,72.62,20.61,Média,41.08,0,normal,Baixo volume instável
CLI_00015,Nordeste,Varejo,B2B,Pequeno,122.2,778.1,15,3648.58,54728.68,2.52,85.84,241.57,3623.55,0.3105,2.88,22.79,32.14,Alta,23.38,0,normal,Recorrentes padrão
CLI_00016,Sul,Atacado,Distribuidor,Pequeno,75.4,963.6,11,4465.88,49124.69,2.26,99.5,331.78,3649.58,0.3443,2.63,18.36,22.29,Média,12.06,0,normal,Recorrentes padrão
CLI_00017,Nordeste,Indústria,B2B,Médio,314.1,675.2,11,6402.05,70422.56,5.45,82.41,652.78,7180.58,0.9668,2.59,31.25,32.91,Alta,33.92,0,normal,Longa distância alto custo
CLI_00018,Nordeste,Varejo,B2B,Pequeno,39.274465416812895,1585.5,18,7294.45,131300.15,0.87,95.66,267.91,4822.38,0.169,2.97,13.42,31.73,Alta,11.56,1,distancia_extrema,Estratégicos urbanos
CLI_00019,Centro-Oeste,E-commerce,B2B,Grande,228.7,172.3,3,951.02,2853.05,2.94,97.58,498.44,1495.32,2.8929,2.85,43.75,25.59,Média,18.68,0,normal,Baixo volume instável
CLI_00020,Centro-Oeste,Atacado,Marketplace,Médio,412.0,940.8,1,5119.85,5119.85,6.47,91.96,449.88,449.88,0.4782,4.64,15.39,45.11,Média,30.59,0,normal,Longa distância alto custo
CLI_00021,Sul,Atacado,Distribuidor,Pequeno,200.0,55.3,4,2155.33,8621.31,1.94,88.38,315.94,1263.76,5.7132,10.27,45.24,35.94,Média,28.67,0,normal,Baixo volume instável
CLI_00022,Sul,E-commerce,Distribuidor,Grande,90.1,802.7,12,3588.75,43065.02,2.48,96.96,214.27,2571.24,0.2669,3.67,18.84,23.5,Alta,15.21,0,normal,Recorrentes padrão
CLI_00023,Sul,Varejo,Marketplace,Médio,246.6,382.4,12,4792.66,57511.94,6.45,74.85,543.83,6525.96,1.4221,13.97,33.74,67.56,Média,52.82,0,normal,Críticos operacionais
CLI_00024,Nordeste,Indústria,B2B,Grande,125.6,227.3,6,1235.43,7412.59,3.0,87.06,387.81,2326.86,1.7062,6.28,69.7,36.12,Média,32.46,0,normal,Baixo volume instável
CLI_00025,Sul,Indústria,B2B,Pequeno,142.8,186.4,6,2453.15,14718.88,4.1,81.88,265.43,1592.58,1.424,10.49,50.89,34.79,Baixa,39.18,0,normal,Baixo volume instável
CLI_00026,Sul,Varejo,Marketplace,Pequeno,45.2,993.4,14,8186.42,114609.88,1.77,95.19,184.06,2576.84,0.1853,1.84,7.41,21.0,Premium,11.65,0,normal,Estratégicos urbanos
CLI_00027,Sudeste,Atacado,B2B,Grande,203.6,627.9,10,5006.43,50064.27,3.3,94.9,141.44,1414.4,0.2253,4.18,35.43,28.98,Média,21.55,0,normal,Recorrentes padrão
CLI_00028,Sul,Atacado,Distribuidor,Médio,29.6,1175.1,24,9386.22,225269.35,1.4,93.14,135.13,3243.12,0.115,0.92,12.45,24.86,Alta,12.4,0,normal,Estratégicos urbanos
CLI_00029,Nordeste,Varejo,Marketplace,Grande,82.8,786.2,17,11476.6,195102.26,1.09,97.42,258.86,4400.62,0.3293,1.85,14.2,30.33,Alta,10.11,0,normal,Estratégicos urbanos
CLI_00030,Nordeste,Indústria,Distribuidor,Grande,336.0,804.6,6,5535.78,33214.71,6.91,83.27,633.4,3800.4,0.7872,34.450341579915126,26.92,42.39,Média,60.01,1,ocorrencia_extrema,Longa distância alto custo
CLI_00031,Sul,Atacado,Marketplace,Grande,56.5,343.0,4,1465.7,5862.79,2.42,90.73,237.6,950.4,0.6927,4.33,62.26,42.26,Baixa,26.75,0,normal,Baixo volume instável
CLI_00032,Centro-Oeste,Varejo,Marketplace,Médio,196.2,862.3,7,4568.52,31979.62,7.08,78.32,455.5,3188.5,0.5282,18.3,68.85,50.12,Média,58.14,0,normal,Críticos operacionais
CLI_00033,Sudeste,Serviços,Distribuidor,Pequeno,151.4,762.4,16,3872.08,61953.33,2.47,88.36,267.88,4286.08,0.3514,1.37,24.11,26.59,Média,20.2,0,normal,Recorrentes padrão
CLI_00034,Sudeste,E-commerce,Distribuidor,Pequeno,167.6,917.4,5,3790.1,18950.49,2.63,90.72,183.03,915.15,0.1995,3.96,19.94,39.31,Média,21.42,0,normal,Recorrentes padrão
CLI_00035,Sudeste,Serviços,Marketplace,Médio,61.5,654.3,6,4127.84,24767.05,2.86,89.26,246.3,1477.8,0.3764,2.14,16.11,38.06,Alta,21.08,0,normal,Recorrentes padrão
CLI_00036,Norte,Indústria,Distribuidor,Médio,42.4,1955.0,18,9135.24,164434.29,1.82,89.32,218.2,3927.6,0.1116,1.77,17.94,24.75,Premium,17.28,0,normal,Estratégicos urbanos
CLI_00037,Sudeste,Varejo,B2B,Pequeno,72.7,1459.0,19,10821.16,205602.13,1.98,97.96,266.78,5068.82,0.1829,2.23,12.67,26.67,Alta,11.75,0,normal,Estratégicos urbanos
CLI_00038,Sudeste,Serviços,B2B,Pequeno,146.2,794.1,11,3994.22,43936.43,2.58,90.91,223.46,2458.06,0.2814,3.65,21.59,21.0,Média,19.61,0,normal,Recorrentes padrão
CLI_00039,Nordeste,E-commerce,B2B,Grande,51.7,771.1,10,6763.87,67638.71,3.2,93.84,273.7,2737.0,0.3549,3.7,13.98,10.09,Média,17.37,0,normal,Recorrentes padrão
CLI_00040,Sudeste,Varejo,B2B,Grande,297.1,698.0,11,5994.57,65940.32,4.1,83.59,686.32,7549.52,0.9833,3.82,18.85,38.11,Média,29.51,0,normal,Longa distância alto custo
CLI_00041,Centro-Oeste,Varejo,Distribuidor,Pequeno,125.4,731.2,17,5488.55,93305.42,3.2,99.5,301.7,5128.9,0.4126,3.7,25.84,19.53,Média,15.88,0,normal,Recorrentes padrão
CLI_00042,Centro-Oeste,Varejo,Marketplace,Médio,136.0,56.5,2,969.0,1938.01,2.39,89.49,329.7,659.4,5.8354,8.84,57.03,50.86,Baixa,30.78,0,normal,Baixo volume instável
CLI_00043,Norte,Atacado,B2B,Pequeno,137.2,710.3,6,6583.22,39499.32,6.01,75.3,873.45,5240.7,1.2297,3.09,15.87,25.66,Média,37.86,0,normal,Longa distância alto custo
CLI_00044,Sudeste,Varejo,Venda direta,Pequeno,93.6,644.5,15,1607.47,24112.01,1.87,91.02,200.29,3004.35,0.3108,3.19,19.24,18.74,Média,16.95,0,normal,Recorrentes padrão
CLI_00045,Sul,Varejo,B2B,Médio,31.9,271.5,4,2293.84,9175.38,3.57,94.02,219.01,876.04,0.8067,5.68,33.09,29.54,Baixa,23.64,0,normal,Baixo volume instável
CLI_00046,Sul,Varejo,B2B,Pequeno,30.6,85.7,5,528.03,2640.14,2.74,87.97,347.41,1737.05,4.0538,6.19,43.61,48.13,Baixa,28.85,0,normal,Baixo volume instável
CLI_00047,Centro-Oeste,Atacado,B2B,Pequeno,137.5,540.1,8,4076.39,32611.11,2.32,86.97,329.63,2637.04,0.6103,4.56,18.17,29.13,Média,22.49,0,normal,Recorrentes padrão
CLI_00048,Norte,Atacado,B2B,Pequeno,73.0,200.0,7,4242.0,29694.03,2.44,97.73,292.05,2044.35,1.4602,3.6,19.81,32.83,Média,15.45,0,normal,Recorrentes padrão
CLI_00049,Norte,Atacado,B2B,Médio,292.8,752.5,8,4899.14,39193.1,4.12,80.07,734.07,5872.56,0.9755,4.56,21.37,14.64,Média,30.78,0,normal,Longa distância alto custo
CLI_00050,Nordeste,Atacado,Venda direta,Pequeno,54.9,1273.0,16,7320.95,117135.23,1.39,96.05,178.55,2856.8,0.1403,1.87,8.14,6.37,Premium,9.01,0,normal,Estratégicos urbanos
CLI_00051,Centro-Oeste,Atacado,B2B,Médio,37.7,1281.0,22,5941.2,130706.35,2.29,99.5,101.75,2238.5,0.0794,1.73,9.12,16.15,Alta,9.81,0,normal,Estratégicos urbanos
CLI_00052,Sul,Serviços,Venda direta,Médio,23.7,823.2,26,8043.63,209134.43,1.55,95.01,231.92,6029.92,0.2817,3.04,14.32,7.37,Premium,11.8,0,normal,Estratégicos urbanos
CLI_00053,Sudeste,Atacado,B2B,Pequeno,242.1,393.9,4,1841.43,7365.74,2.11,90.74,265.16,1060.64,0.6732,4.11,44.53,32.41,Baixa,22.74,0,normal,Baixo volume instável
CLI_00054,Centro-Oeste,E-commerce,Marketplace,Pequeno,263.4,779.8,6,4787.53,28725.15,5.32,93.0,844.77,5068.62,1.0833,4.47,26.47,20.18,Alta,26.2,0,normal,Longa distância alto custo
CLI_00055,Nordeste,Varejo,Distribuidor,Médio,504.0,1049.3,6,3523.75,21142.52,5.01,70.1,834.32,5005.92,0.7951,4.82,39.65,10.73,Média,41.81,0,normal,Longa distância alto custo
CLI_00056,Nordeste,Varejo,Marketplace,Médio,261.0,320.7,3,1047.88,3143.63,2.01,95.84,239.96,719.88,0.7482,9.76,54.3,41.96,Baixa,25.16,0,normal,Baixo volume instável
CLI_00057,Nordeste,Indústria,Marketplace,Médio,67.1,758.0,10,4764.46,47644.65,2.15,86.16,355.43,3554.3,0.4689,5.36,25.3,20.9,Média,23.39,0,normal,Recorrentes padrão
CLI_00058,Norte,E-commerce,B2B,Pequeno,528.0,444.4,8,7685.3,61482.39,4.63,82.42,538.19,4305.52,1.211,7.15,18.84,27.05,Média,33.06,0,normal,Longa distância alto custo
CLI_00059,Sudeste,E-commerce,Distribuidor,Médio,38.4,996.3,11,8037.26,88409.89,1.09,94.44,239.78,2637.58,0.2407,1.54,13.42,12.94,Premium,10.32,0,normal,Estratégicos urbanos
CLI_00060,Sul,E-commerce,Distribuidor,Pequeno,72.4,1197.3,22,8978.28,197522.06,1.81,97.68,191.9,4221.8,0.1603,2.56,8.96,23.45,Alta,11.01,0,normal,Estratégicos urbanos
CLI_00061,Sul,E-commerce,Marketplace,Pequeno,364.2,650.4,7,5360.81,37525.64,4.05,83.23,559.28,3914.96,0.8599,9.42,33.47,30.73,Alta,34.85,0,normal,Longa distância alto custo
CLI_00062,Nordeste,Serviços,Marketplace,Médio,102.2,815.7,7,4679.65,32757.54,2.41,92.39,231.41,1619.87,0.2837,5.16,19.38,38.19,Média,20.45,0,normal,Recorrentes padrão
CLI_00063,Nordeste,Varejo,B2B,Médio,107.1,44.9,10,6676.31,66763.1,6.3,83.89,521.96,5219.6,11.6249,4.44,25.09,17.93,Média,34.34,0,normal,Longa distância alto custo
CLI_00064,Sudeste,E-commerce,B2B,Médio,150.0,204.0,5,1277.86,6389.29,3.22,78.35,407.84,2039.2,1.9992,6.27,61.91,35.59,Baixa,37.78,0,normal,Baixo volume instável
CLI_00065,Sul,Atacado,Marketplace,Pequeno,371.5,370.5,6,6154.28,36925.66,4.26,82.65,711.11,4266.66,1.9193,4.97,16.76,27.64,Alta,30.21,0,normal,Longa distância alto custo
CLI_00066,Norte,Atacado,Distribuidor,Médio,279.2,802.1,4,3959.81,15839.22,3.29,77.6,866.45,3465.8,1.0802,3.88,28.73,19.64,Alta,31.21,0,normal,Longa distância alto custo
CLI_00067,Centro-Oeste,Indústria,Distribuidor,Pequeno,303.7,944.4,12,3244.44,38933.24,3.84,82.58,635.78,7629.36,0.6732,4.6,14.57,42.04,Média,29.88,0,normal,Longa distância alto custo
CLI_00068,Sudeste,Varejo,Marketplace,Pequeno,87.0,513.7,11,2968.62,32654.84,2.85,91.46,270.44,2974.84,0.5265,5.23,17.37,18.19,Alta,20.28,0,normal,Recorrentes padrão
CLI_00069,Sudeste,E-commerce,B2B,Médio,51.5,1393.6,23,12719.88,292557.14,1.87,99.46,240.67,5535.41,0.1727,3.0,19.4,24.66,Premium,11.71,0,normal,Estratégicos urbanos
CLI_00070,Sudeste,Atacado,B2B,Médio,88.3,226.1,15,4090.55,61358.24,2.65,96.83,276.52,4147.8,1.223,5.23,12.55,43.18,Média,17.7,0,normal,Recorrentes padrão
CLI_00071,Nordeste,E-commerce,Marketplace,Médio,11.4,1529.3,20,12744.61,254892.13,1.05,99.5,187.62,3752.4,0.1227,1.49,7.11,10.39,Premium,5.8,0,normal,Estratégicos urbanos
CLI_00072,Centro-Oeste,Atacado,Distribuidor,Pequeno,106.8,600.1,10,4961.4,49613.97,3.0,89.76,202.57,2025.7,0.3376,3.59,22.82,12.31,Alta,20.81,0,normal,Recorrentes padrão
CLI_00073,Sudeste,Atacado,Distribuidor,Pequeno,42.3,200.0,4,799.95,3199.78,2.61,84.59,274.6,1098.4,1.373,6.83,40.06,55.73,Média,31.43,0,normal,Baixo volume instável
CLI_00074,Sudeste,Indústria,Distribuidor,Médio,121.9,657.5,14,5526.35,77368.86,2.51,89.95,287.86,4030.04,0.4378,3.28,30.08,24.63,Alta,21.19,0,normal,Recorrentes padrão
CLI_00075,Sul,Indústria,B2B,Médio,21.7,1390.7,23,5325.96,122496.97,2.31,94.94,215.64,4959.72,0.1551,2.2,14.9,19.92,Alta,14.28,0,normal,Estratégicos urbanos
CLI_00076,Norte,Varejo,B2B,Pequeno,31.8,1120.0,8,5720.77,45766.13,2.41,95.24,222.13,1777.04,0.1983,4.25,18.48,36.63,Alta,17.65,0,normal,Recorrentes padrão
CLI_00077,Norte,Indústria,B2B,Médio,128.6,584.1,10,5422.17,54221.65,1.15,93.36,241.64,2416.4,0.4137,2.41,22.02,33.82,Média,14.65,0,normal,Recorrentes padrão
CLI_00078,Norte,E-commerce,B2B,Médio,299.7,981.1,7,3944.58,27612.07,3.08,88.99,618.92,4332.44,0.6308,5.79,34.92,14.91,Alta,24.84,0,normal,Longa distância alto custo
CLI_00079,Centro-Oeste,E-commerce,Distribuidor,Médio,458.0,735.3,7,5702.14,39914.97,4.91,87.49,762.97,5340.79,1.0376,3.43,32.92,39.67,Média,30.56,0,normal,Longa distância alto custo
CLI_00080,Sudeste,E-commerce,Venda direta,Médio,53.4,284.7,4,694.82,2779.28,3.38,86.66,356.48,1425.92,1.2521,5.64,38.38,28.75,Média,28.64,0,normal,Baixo volume instável
CLI_00081,Nordeste,Atacado,B2B,Pequeno,598.2,595.0,6,9152.62,54915.75,4.98,75.72,799.55,4797.3,1.3438,3.56,32.27,25.89,Alta,37.44,0,normal,Longa distância alto custo
CLI_00082,Sudeste,Serviços,Marketplace,Pequeno,116.4,867.7,10,6011.56,60115.6,2.87,91.85,273.83,2738.3,0.3156,3.66,12.49,23.28,Alta,18.76,0,normal,Recorrentes padrão
CLI_00083,Sudeste,Indústria,B2B,Pequeno,155.9,107.0,7,1521.96,10653.72,3.04,84.94,266.04,1862.28,2.4864,9.9,64.63,43.33,Baixa,36.52,0,normal,Baixo volume instável
CLI_00084,Sudeste,Varejo,Distribuidor,Médio,49.5,1415.4,20,8085.55,161711.07,1.85,93.73,187.1,3742.0,0.1322,1.43,7.71,25.11,Premium,12.91,0,normal,Estratégicos urbanos
CLI_00085,Nordeste,E-commerce,B2B,Pequeno,60.0,1621.0,21,10167.55,213518.63,1.63,94.69,177.4,3725.4,0.1094,2.7,15.06,13.15,Alta,12.55,0,normal,Estratégicos urbanos
CLI_00086,Sudeste,Varejo,B2B,Pequeno,18.4,849.6,17,9046.83,153796.09,1.29,97.63,207.38,3525.46,0.2441,2.2,11.27,12.49,Alta,8.85,0,normal,Estratégicos urbanos
CLI_00087,Nordeste,E-commerce,B2B,Médio,214.1,129.0,3,1809.51,5428.54,4.04,97.0,313.72,941.16,2.4319,10.54,44.52,51.19,Baixa,29.56,0,normal,Baixo volume instável
CLI_00088,Sul,Indústria,B2B,Grande,109.9,813.2,8,3379.49,27035.96,2.14,87.14,254.43,2035.44,0.3129,3.62,18.16,37.39,Média,21.95,0,normal,Recorrentes padrão
CLI_00089,Centro-Oeste,Indústria,Distribuidor,Médio,37.4,1527.6,20,8228.11,164562.19,1.82,99.5,228.87,4577.4,0.1498,2.2,14.69,7.77,Premium,8.96,0,normal,Estratégicos urbanos
CLI_00090,Nordeste,Varejo,Distribuidor,Médio,135.3,479.4,9,5486.6,49379.4,2.42,84.75,289.92,2609.28,0.6048,3.02,29.24,19.15,Alta,23.68,0,normal,Recorrentes padrão
CLI_00091,Sudeste,Atacado,Marketplace,Médio,49.9,1278.0,17,9288.09,157897.51,1.62,96.41,186.05,3162.85,0.1456,1.41,11.53,17.69,Alta,10.4,0,normal,Estratégicos urbanos
CLI_00092,Norte,Serviços,Distribuidor,Pequeno,333.4,574.5,11,5222.63,57448.98,4.76,81.1,687.95,7567.45,1.1975,3.01,23.64,18.63,Média,31.2,0,normal,Longa distância alto custo
CLI_00093,Norte,Indústria,Distribuidor,Médio,143.6,771.1,9,3314.61,29831.5,3.03,91.26,397.17,3574.53,0.5151,3.06,31.84,22.75,Média,21.53,0,normal,Recorrentes padrão
CLI_00094,Sul,Varejo,B2B,Pequeno,118.3,614.6,10,4828.43,48284.27,1.38,96.15,240.8,2408.0,0.3918,4.14,23.72,34.97,Média,14.91,0,normal,Recorrentes padrão
CLI_00095,Sudeste,Varejo,Venda direta,Pequeno,82.4,408.3,12,3764.46,45173.53,2.18,89.15,327.95,3935.4,0.8032,3.45,20.47,20.47,Média,19.46,0,normal,Recorrentes padrão
CLI_00096,Centro-Oeste,Serviços,B2B,Pequeno,276.8,730.8,5,3922.56,19612.78,2.92,75.92,656.65,3283.25,0.8985,5.08,18.66,28.79,Alta,31.76,0,normal,Longa distância alto custo
CLI_00097,Sul,Serviços,B2B,Pequeno,91.8,427.6,10,3592.13,35921.26,2.61,85.63,260.81,2608.1,0.6099,25.580494535954095,25.45,17.89,Média,39.1,1,ocorrencia_extrema,Recorrentes padrão
CLI_00098,Norte,E-commerce,Marketplace,Pequeno,40.1,744.9,16,4216.03,67456.45,1.68,98.02,173.53,2776.48,0.233,1.47,15.69,5.75,Premium,9.04,0,normal,Estratégicos urbanos
CLI_00099,Sul,Indústria,Venda direta,Médio,42.3,1525.7,19,9572.04,181868.8,1.09,97.23,196.77,3738.63,0.129,1.68,16.19,12.96,Premium,8.91,0,normal,Estratégicos urbanos
CLI_00100,Norte,Varejo,Distribuidor,Pequeno,272.3,356.1,12,2566.13,30793.55,5.69,72.72,411.82,4941.84,1.1565,13.56,58.25,57.17,Média,54.27,0,normal,Críticos operacionais
CLI_00101,Sudeste,Atacado,Venda direta,Médio,89.5,448.1,9,5363.48,48271.36,5.51,62.21,581.61,5234.49,1.2979,15.4,40.84,69.74,Média,61.0,0,normal,Críticos operacionais
CLI_00102,Nordeste,Varejo,B2B,Médio,434.9,826.6,8,4441.13,35529.04,4.03,91.35,772.62,6180.96,0.9347,3.36,26.45,4.26,Alta,21.94,0,normal,Longa distância alto custo
CLI_00103,Sul,Atacado,Venda direta,Pequeno,106.8,733.8,13,4100.26,53303.32,2.31,85.67,248.75,3233.75,0.339,1.99,8.91,15.32,Média,19.17,0,normal,Recorrentes padrão
CLI_00104,Sudeste,Indústria,Marketplace,Médio,21.1,397.9,8,3876.59,31012.7,5.33,51.46,461.83,3694.64,1.1607,11.0,32.18,68.55,Média,63.38,0,normal,Críticos operacionais
CLI_00105,Sul,E-commerce,Distribuidor,Pequeno,133.8,269.1,2,250.0,500.0,3.4,89.59,352.8,705.6,1.311,5.35,65.88,32.48,Baixa,30.32,0,normal,Baixo volume instável
CLI_00106,Norte,Indústria,Marketplace,Pequeno,507.5,881.1,8,8940.05,71520.36,4.89,76.19,664.53,5316.24,0.7542,3.45,21.83,23.97,Média,35.34,0,normal,Longa distância alto custo
CLI_00107,Sudeste,Indústria,B2B,Médio,111.5,699.6,12,4427.24,53126.86,2.77,94.01,268.95,3227.4,0.3844,3.24,29.18,20.18,Média,18.62,0,normal,Recorrentes padrão
CLI_00108,Nordeste,Indústria,B2B,Grande,44.0,532.7,11,5502.65,60529.11,2.7,80.6,295.27,3247.97,0.5543,2.83,22.72,23.89,Média,26.59,0,normal,Recorrentes padrão
CLI_00109,Sudeste,Indústria,B2B,Grande,61.9,1563.5,11,11209.94,123309.33,1.44,97.79,171.1,1882.1,0.1094,0.97,19.91,11.3,Premium,9.23,0,normal,Estratégicos urbanos
CLI_00110,Sul,Atacado,B2B,Pequeno,140.9,433.0,11,3905.03,42955.32,4.42,75.66,588.86,6477.46,1.36,11.83,53.45,51.49,Média,46.81,0,normal,Críticos operacionais
CLI_00111,Centro-Oeste,Atacado,B2B,Pequeno,76.6,371.9,8,5560.44,44483.49,2.86,89.98,335.53,2684.24,0.9022,4.4,18.4,22.67,Média,21.21,0,normal,Recorrentes padrão
CLI_00112,Sudeste,E-commerce,B2B,Médio,39.5,1679.0,11,8513.29,93646.18,1.43,98.4,208.26,2290.86,0.124,23.299996939343472,14.65,15.13,Alta,24.41,1,ocorrencia_extrema,Estratégicos urbanos
CLI_00113,Sudeste,Serviços,Distribuidor,Pequeno,137.9,253.6,14,4166.87,58336.2,1.36,78.99,175.88,2462.32,0.6935,3.48,19.6,29.07,Média,24.82,0,normal,Recorrentes padrão
CLI_00114,Sul,Atacado,B2B,Pequeno,445.6,630.9,5,4549.13,22745.65,5.57,83.2,599.71,2998.55,0.9506,6.87,42.14,30.1,Alta,37.89,0,normal,Longa distância alto custo
CLI_00115,Sudeste,Varejo,Marketplace,Médio,21.9,1284.4,15,8474.81,127122.08,1.34,95.28,231.29,3469.35,0.1801,1.72,4.54,12.78,Alta,9.37,0,normal,Estratégicos urbanos
CLI_00116,Centro-Oeste,Serviços,Venda direta,Pequeno,114.4,127.6,5,2049.92,10249.58,3.86,83.35,416.14,2080.7,3.2613,5.41,55.84,31.87,Média,34.35,0,normal,Baixo volume instável
CLI_00117,Sudeste,Atacado,Distribuidor,Médio,69.4,179.3,3,1289.92,3869.77,3.93,95.87,246.93,740.79,1.3772,4.91,34.11,53.68,Média,24.91,0,normal,Baixo volume instável
CLI_00118,Nordeste,Serviços,B2B,Pequeno,163.7,702.9,11,4938.99,54328.88,5.94,87.89,549.04,6039.44,0.7811,4.67,23.97,18.47,Média,30.84,0,normal,Longa distância alto custo
CLI_00119,Sudeste,Varejo,Marketplace,Pequeno,114.7,542.3,12,2355.89,28270.7,2.64,81.13,247.52,2970.24,0.4564,4.53,23.73,13.61,Média,26.56,0,normal,Recorrentes padrão
CLI_00120,Nordeste,E-commerce,Marketplace,Médio,358.7,854.7,6,5830.39,34982.31,4.8,80.75,438.3,2629.8,0.5128,5.44,17.38,22.22,Alta,32.79,0,normal,Longa distância alto custo
CLI_00121,Sul,Varejo,Venda direta,Pequeno,354.3,1075.0,6,4910.03,29460.21,5.55,83.45,545.85,3275.1,0.5078,9.79,16.37,27.35,Média,36.27,0,normal,Longa distância alto custo
CLI_00122,Sudeste,Indústria,Venda direta,Grande,564.3,727.2,8,4798.42,38387.33,4.28,81.27,488.52,3908.16,0.6718,4.91,21.74,39.72,Alta,32.78,0,normal,Longa distância alto custo
CLI_00123,Centro-Oeste,E-commerce,Venda direta,Pequeno,29.4,1529.9,22,8936.98,196613.53,1.12,92.59,244.39,5376.58,0.1597,0.92,13.57,18.8,Alta,11.69,0,normal,Estratégicos urbanos
CLI_00124,Nordeste,E-commerce,Distribuidor,Grande,5.0,766.8,7,4743.78,33206.45,3.17,91.07,314.77,2203.39,0.4105,3.68,29.52,15.5,Média,21.54,0,normal,Recorrentes padrão
CLI_00125,Sudeste,Serviços,B2B,Pequeno,83.2,1440.3,20,11345.01,226900.17,1.18,92.72,260.26,5205.2,0.1807,1.99,11.09,18.08,Premium,12.15,0,normal,Estratégicos urbanos
CLI_00126,Sul,Varejo,Distribuidor,Pequeno,108.8,380.5,12,4897.93,58775.14,3.08,99.47,166.91,2002.92,0.4387,3.03,15.55,25.38,Alta,14.32,0,normal,Recorrentes padrão
CLI_00127,Nordeste,Serviços,Marketplace,Médio,82.4,428.9,10,4142.78,41427.84,1.97,94.5,256.73,2567.3,0.5986,4.78,18.83,23.81,Média,16.39,0,normal,Recorrentes padrão
CLI_00128,Norte,Atacado,Marketplace,Pequeno,58.7,1164.4,21,9309.76,195504.91,2.13,93.11,150.95,3169.95,0.1296,1.37,6.46,8.32,Premium,12.41,0,normal,Estratégicos urbanos
